k,u,n,d,a,$,V,PL,2,FUT	m,u,c,h,a,k,u,n,d,a
i,p,a,$,V,PL,2,HOD	m,a,p,a
i,p,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,p,a
i,p,a,$,V,SG,1,PST	n,d,a,k,a,p,a
i,p,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,p,a
i,p,a,$,V,SG,1,FUT	n,d,i,c,h,a,p,a
i,p,a,$,V,SG,2,PRS	u,n,o,p,a
i,p,a,$,V,PL,2,PST	m,a,k,a,p,a
i,p,a,$,V,SG,3,PRS	a,n,o,p,a
i,p,a,$,V,SG,2,FUT	u,c,h,a,p,a
i,p,a,$,V,SG,2,PST	w,a,k,a,p,a
i,p,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,p,a
i,p,a,$,V,PL,3,FUT	v,a,c,h,a,p,a
i,p,a,$,V,SG,1,HOD	n,d,a,p,a
i,p,a,$,V,PL,3,HOD	v,a,p,a
i,p,a,$,V,SG,2,HOD	w,a,p,a
i,p,a,$,V,PL,3,PRS	v,a,n,o,p,a
i,p,a,$,V,SG,3,PST	a,k,a,p,a
i,p,a,$,V,SG,1,PRS	n,d,i,n,o,p,a
i,t,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,i,t,a
i,t,a,$,V,SG,1,PRS	n,d,i,n,o,i,t,a
i,t,a,$,V,PL,2,PST	m,a,k,a,i,t,a
i,t,a,$,V,PL,1,FUT	t,i,c,h,a,i,t,a
i,t,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,i,t,a
i,t,a,$,V,PL,3,PRS	v,a,n,o,i,t,a
i,t,a,$,V,PL,1,PST	t,a,k,a,i,t,a
i,t,a,$,V,PL,3,HOD	v,a,i,t,a
i,t,a,$,V,SG,1,PST	n,d,a,k,a,i,t,a
i,t,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,i,t,a
i,t,a,$,V,SG,1,FUT	n,d,i,c,h,a,i,t,a
i,t,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,i,t,a
i,t,a,$,V,PL,1,PRS	t,i,n,o,i,t,a
i,t,a,$,V,PL,2,PRS	m,u,n,o,i,t,a
i,t,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,i,t,a
i,t,a,$,V,SG,1,HOD	n,d,a,i,t,a
i,t,a,$,V,SG,3,HOD	a,i,t,a
i,t,a,$,V,SG,2,PRS	u,n,o,i,t,a
i,t,a,$,V,SG,3,FUT	a,c,h,a,i,t,a
i,t,a,$,V,SG,2,PST	w,a,k,a,i,t,a
i,t,a,$,V,SG,2,FUT	u,c,h,a,i,t,a
i,t,a,$,V,SG,3,PST	a,k,a,i,t,a
i,t,a,$,V,PL,3,FUT	v,a,c,h,a,i,t,a
i,t,a,$,V,PL,2,HOD	m,a,i,t,a
i,t,a,$,V,PL,2,FUT	m,u,c,h,a,i,t,a
i,t,a,$,V,SG,3,PRS	a,n,o,i,t,a
i,t,a,$,V,SG,2,HOD	w,a,i,t,a
i,t,a,$,V,PL,1,HOD	t,a,i,t,a
i,t,a,$,V,PL,3,PST	v,a,k,a,i,t,a
i,t,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,i,t,a
g,a,m,u,c,h,i,r,a,$,V,SG,2,HOD	w,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,1,HOD	n,d,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,2,PRS	u,n,o,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,3,FUT	v,a,c,h,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,3,HOD	v,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,1,HOD	t,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,3,HOD	a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,1,PRS	t,i,n,o,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,2,PRS	m,u,n,o,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,2,PST	m,a,k,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,3,FUT	a,c,h,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,3,PRS	a,n,o,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,3,PRS	v,a,n,o,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,3,PST	v,a,k,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,3,PST	a,k,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,2,FUT	u,c,h,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,2,HOD	m,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,2,PST	w,a,k,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,SG,1,PST	n,d,a,k,a,g,a,m,u,c,h,i,r,a
g,a,m,u,c,h,i,r,a,$,V,PL,1,PST	t,a,k,a,g,a,m,u,c,h,i,r,a
i,r,w,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,w,a
i,r,w,a,$,V,PL,3,PRS	v,a,n,o,r,w,a
i,r,w,a,$,V,PL,1,FUT	t,i,c,h,a,r,w,a
i,r,w,a,$,V,PL,1,PRS	t,i,n,o,r,w,a
i,r,w,a,$,V,PL,1,HOD	t,a,r,w,a
i,r,w,a,$,V,SG,2,HOD	w,a,r,w,a
i,r,w,a,$,V,SG,1,HOD	n,d,a,r,w,a
i,r,w,a,$,V,PL,3,FUT	v,a,c,h,a,r,w,a
i,r,w,a,$,V,PL,2,HOD	m,a,r,w,a
i,r,w,a,$,V,PL,2,PST	m,a,k,a,r,w,a
i,r,w,a,$,V,PL,3,PST	v,a,k,a,r,w,a
i,r,w,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,w,a
i,r,w,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,w,a
i,r,w,a,$,V,SG,3,FUT	a,c,h,a,r,w,a
i,r,w,a,$,V,SG,2,PRS	u,n,o,r,w,a
i,r,w,a,$,V,SG,3,PST	a,k,a,r,w,a
i,r,w,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,w,a
i,r,w,a,$,V,SG,1,PST	n,d,a,k,a,r,w,a
i,r,w,a,$,V,SG,2,FUT	u,c,h,a,r,w,a
i,r,w,a,$,V,PL,1,PST	t,a,k,a,r,w,a
i,r,w,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,w,a
i,r,w,a,$,V,SG,2,PST	w,a,k,a,r,w,a
i,r,w,a,$,V,PL,3,HOD	v,a,r,w,a
i,r,w,a,$,V,PL,2,PRS	m,u,n,o,r,w,a
i,r,w,a,$,V,SG,3,PRS	a,n,o,r,w,a
i,r,w,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,w,a
i,r,w,a,$,V,SG,1,PRS	n,d,i,n,o,r,w,a
i,r,w,a,$,V,PL,2,FUT	m,u,c,h,a,r,w,a
i,r,w,a,$,V,SG,3,HOD	a,r,w,a
i,r,w,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,w,a
t,y,a,i,r,a,$,V,SG,3,PST	a,k,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,3,PRS	a,n,o,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,3,FUT	v,a,c,h,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,2,PRS	m,u,n,o,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,2,PST	m,a,k,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,3,FUT	a,c,h,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,2,HOD	m,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,3,HOD	a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,3,PRS	v,a,n,o,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,2,HOD	w,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,1,PST	n,d,a,k,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,1,FUT	t,i,c,h,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,2,FUT	u,c,h,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,1,PRS	t,i,n,o,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,1,PST	t,a,k,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,3,HOD	v,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,2,PST	w,a,k,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,3,PST	v,a,k,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,1,PRS	n,d,i,n,o,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,2,FUT	m,u,c,h,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,PL,1,HOD	t,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,1,HOD	n,d,a,t,y,a,i,r,a
t,y,a,i,r,a,$,V,SG,2,PRS	u,n,o,t,y,a,i,r,a
r,a,s,a,$,V,SG,3,PRS	a,n,o,r,a,s,a
r,a,s,a,$,V,PROG,PL,1,PRS	t,i,r,i,k,u,r,a,s,a
r,a,s,a,$,V,SG,1,HOD	n,d,a,r,a,s,a
r,a,s,a,$,V,PL,3,PST	v,a,k,a,r,a,s,a
r,a,s,a,$,V,SG,1,PRS	n,d,i,n,o,r,a,s,a
r,a,s,a,$,V,PL,3,HOD	v,a,r,a,s,a
r,a,s,a,$,V,SG,3,FUT	a,c,h,a,r,a,s,a
r,a,s,a,$,V,PL,1,FUT	t,i,c,h,a,r,a,s,a
r,a,s,a,$,V,SG,3,PST	a,k,a,r,a,s,a
r,a,s,a,$,V,PL,2,PRS	m,u,n,o,r,a,s,a
r,a,s,a,$,V,SG,1,PST	n,d,a,k,a,r,a,s,a
r,a,s,a,$,V,SG,2,PRS	u,n,o,r,a,s,a
r,a,s,a,$,V,SG,3,HOD	a,r,a,s,a
r,a,s,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,r,a,s,a
r,a,s,a,$,V,PL,2,HOD	m,a,r,a,s,a
r,a,s,a,$,V,PL,1,PRS	t,i,n,o,r,a,s,a
r,a,s,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,r,a,s,a
r,a,s,a,$,V,SG,2,HOD	w,a,r,a,s,a
r,a,s,a,$,V,SG,2,PST	w,a,k,a,r,a,s,a
r,a,s,a,$,V,PL,1,PST	t,a,k,a,r,a,s,a
r,a,s,a,$,V,PL,3,PRS	v,a,n,o,r,a,s,a
r,a,s,a,$,V,SG,2,FUT	u,c,h,a,r,a,s,a
r,a,s,a,$,V,PL,2,PST	m,a,k,a,r,a,s,a
r,a,s,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,r,a,s,a
r,a,s,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,r,a,s,a
r,a,s,a,$,V,PL,1,HOD	t,a,r,a,s,a
r,a,s,a,$,V,PL,3,FUT	v,a,c,h,a,r,a,s,a
r,a,s,a,$,V,PROG,SG,1,PRS	n,d,i,r,i,k,u,r,a,s,a
r,a,s,a,$,V,SG,1,FUT	n,d,i,c,h,a,r,a,s,a
r,a,s,a,$,V,PL,2,FUT	m,u,c,h,a,r,a,s,a
d,z,o,k,o,r,o,r,a,$,V,SG,2,PRS	u,n,o,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PROG,PL,3,PRS	v,a,r,i,k,u,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PROG,SG,2,PRS	u,r,i,k,u,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,2,FUT	m,u,c,h,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,1,PST	n,d,a,k,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,1,FUT	t,i,c,h,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,2,HOD	m,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,3,FUT	a,c,h,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,1,FUT	n,d,i,c,h,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,3,HOD	a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PROG,SG,3,PRS	a,r,i,k,u,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PROG,PL,2,PRS	m,u,r,i,k,u,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,3,PRS	a,n,o,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,2,HOD	w,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,1,PST	t,a,k,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,1,HOD	t,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,2,PST	w,a,k,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,1,HOD	n,d,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,3,PST	a,k,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,3,HOD	v,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,SG,2,FUT	u,c,h,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,3,FUT	v,a,c,h,a,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,3,PRS	v,a,n,o,d,z,o,k,o,r,o,r,a
d,z,o,k,o,r,o,r,a,$,V,PL,2,PST	m,a,k,a,d,z,o,k,o,r,o,r,a
